row,base,csw,size,hvac_fuel,fuel,hours,occupancy,heat_a,heat_b,heat_c,cool_a,cool_b,cool_c,cool_mult_no_cooling,building_type
1,Single,Single,Mid,PVAV_Elec,Electric,2080,,0.8704668255999,0.0016759854,-5.82E-08,2.40428856,0.0005625127,-9.70E-09,0.6644,Office
2,Single,Single,Mid,PVAV_Elec,Electric,2912,,1.6949778209999,0.002305175,-8.55E-08,3.7647661055,0.0011532145,-6.65E-08,0.6643875707074,Office
3,Single,Single,Mid,PVAV_Elec,Electric,8760,,16.0040605697998,0.0025681481,-6.39E-08,6.1823179497,0.0040023765,-2.41E-07,0.6643875707074,Office
4,Single,Double,Mid,PVAV_Elec,Electric,2080,,1.2309323298999,0.0012506949,-9.10E-09,4.2025198124,0.0010760659,-7.28E-08,0.6643875707074,Office
5,Single,Double,Mid,PVAV_Elec,Electric,2912,,1.9904024125999,0.001829134,-2.58E-08,5.4562582094,0.0024884702,-2.24E-07,0.6643875707074,Office
6,Single,Double,Mid,PVAV_Elec,Electric,8760,,19.7294308199997,0.00194868,-3.60E-08,7.49238888,0.0055275,-3.60E-07,0.6643875707074,Office
7,Double,Single,Mid,PVAV_Elec,Electric,2080,,0.36808555,0.000782236,-2.94E-08,1.2340869921184,0.0008629079321,-8.28E-08,0.6644,Office
8,Double,Single,Mid,PVAV_Elec,Electric,2912,,0.9020940767999,0.000852242,-1.84E-08,1.2423496865765,0.0018366905584,-1.71E-07,0.6643875707074,Office
9,Double,Single,Mid,PVAV_Elec,Electric,8760,,10.3088854007999,0.000609651,-6.30E-09,1.6695080451,0.0033280569,-2.27E-07,0.6643875707074,Office
10,Single,Single,Large,VAV,Electric,2080,,1.0450550325248,0.0018045978188,-6.22E-08,2.9951823980196,0.0005443622678,-1.19E-08,0.6643875707074,Office
11,Single,Single,Large,VAV,Electric,2912,,1.9632126070335,0.0024799912346,-8.43E-08,4.6910108842017,0.001137080156,-6.84E-08,0.6643875707074,Office
12,Single,Single,Large,VAV,Electric,8760,,17.8816654897182,0.0027347243182,-6.95E-08,7.8630931031137,0.0041844902139,-2.59E-07,0.6643875707074,Office
13,Single,Double,Large,VAV,Electric,2080,,1.4247504147596,0.0013539388697,-1.03E-08,5.1829375742786,0.0010798818489,-8.24E-08,0.6643875707074,Office
14,Single,Double,Large,VAV,Electric,2912,,2.3365575077674,0.0019451616135,-2.53E-08,6.7949827164281,0.0025987321275,-2.48E-07,0.6643875707074,Office
15,Single,Double,Large,VAV,Electric,8760,,22.0221531037359,0.0020809483691,-4.10E-08,9.501888482849,0.0059375221572,-4.19E-07,0.6643875707074,Office
16,Double,Single,Large,VAV,Electric,2080,,0.4341957405138,0.0008523278452,-3.21E-08,1.5493838764825,0.0009156790468,-9.29E-08,0.6643875707074,Office
