State,Cities,Heating Degree Days (HDD),Cooling Degree Days (CDD)
Alabama,Anniston,2585,1713
Alabama,Auburn AL,2688,1477
Alabama,Birmingham,2698,1912
Alabama,Daleville,2447,2122
Alabama,Dothan,2072,2443
Alabama,Gadsen,3063,1383
Alabama,Huntsville,3472,1701
Alabama,Mobile,1724,2524
Alabama,Montgomery,2183,2124
Alabama,Muscle Shoals,2788,1701
Alabama,Troy,2196,2217
Alabama,Tuscaloosa,2656,2101
Aklaska,Adak,9202,0
Aklaska,Anchorage,10158,0
Aklaska,Aniak,11513,0
Aklaska,Annette Island,6865,11
Aklaska,Anvik,11628,27
Aklaska,Big River Lakes,9868,1
Aklaska,Birchwood,9521,1
Aklaska,Chulitna,10471,3
Aklaska,Cold Bay,9517,0
Aklaska,Cordova,9376,0
Aklaska,Dillingham,10504,1
Aklaska,Dutch Harbor,8963,0
Aklaska,Emmonak,11775,0
Aklaska,Fairbanks,13072,31
Aklaska,Gustavus,9123,0
Aklaska,Healy,10689,0
Aklaska,Homer,9696,0
Aklaska,Hoonah,8858,0
Aklaska,Hooper Bay,11970,0
Aklaska,Huslia,13574,0
Aklaska,Iliamna,9855,8
Aklaska,Juneau,8471,1
Aklaska,Kake,8385,0
Aklaska,Kenai,10071,5
Aklaska,Ketchikan,8033,22
Aklaska,King Salmon,10754,2
Aklaska,Kodiak,8551,5
Aklaska,Mekoryuk,11572,0
Aklaska,Middleton Island,8285,0
Aklaska,Palmer,8599,4
Aklaska,Petersburg AK,8490,6
Aklaska,Port Heiden,10084,0
Aklaska,Saint Mary's,11770,0
Aklaska,Sand Point,9143,0
Aklaska,Seward,9112,0
Aklaska,Sitka Japonski,8002,0
Aklaska,Skagway,8379,9
Aklaska,Soldotna,10146,3
Aklaska,St. Paul,10607,0
Aklaska,Talkeetna,10973,2
Aklaska,Togiac,10391,3
Aklaska,Utqiagvik,9862,0
Aklaska,Valdez ,9257,0
Aklaska,Whittier,9362,1
Aklaska,Wrangell,7985,5
Aklaska,Yakutat ,9117,0
Arizona,Casa Granda,1473,3715
Arizona,Douglas,2328,1832
Arizona,Flagstaff,7112,110
Arizona,Grand Canyon,6605,93
Arizona,Kingman,3005,2444
Arizona,Luke,1137,4152
Arizona,Page,3658,1967
Arizona,Phoenix,997,4591
Arizona,Prescott,4146,1037
Arizona,Safford,1891,2760
Arizona,Scottsdale,1214,4065
Arizona,Show Low,4515,643
Arizona,Tucson,1596,3020
Arizona,Winslow,4435,1247
Arizona,Yuma,535,4532
Arkansas,Batesville,3761,1687
Arkansas,Bentonville,4394,1514
Arkansas,El Dorado,2672,2512
Arkansas,Fayetteville AR,3726,1753
Arkansas,Flippin,3724,1604
Arkansas,Fort Smith,3596,2020
Arkansas,Harrison,3822,1590
Arkansas,Hot Springs AR,3256,2111
Arkansas,Jonesboro,4240,1934
Arkansas,Little Rock,3079,2076
Arkansas,Pine Bluff,3384,2460
Arkansas,Rogers,4327,1669
Arkansas,Siloam Spring,3868,1637
Arkansas,Springdale,3963,1480
Arkansas,Stuttgart,2833,2120
Arkansas,Texarkana,2471,2486
Arkansas,Walnut Ridge,3733,1731
California,Alturas,6458,320
California,Bakersfield,2013,2240
California,Bishop,4053,1087
California,Blue Canyon,5176,465
California,Blythe,826,4527
California,Burbank,1437,1449
California,Camarillo,1979,342
California,Camp Pendleton,2499,731
California,Carlsbad CA,1798,272
California,Chino,1609,1330
California,Chula Vista,1642,410
California,Concord CA,2484,785
California,Crescent City,4884,0
California,Daggett,1931,3036
California,Fairfield CA,2708,1313
California,Fresno,2327,2101
California,Fullerton,1312,1187
California,Hawthorne,1299,570
California,Hayward,2327,131
California,Imperial CA,837,4228
California,Lancaster CA,2871,1983
California,Lemoore,1654,1754
California,Livermore,2933,679
California,Lompoc,3256,27
California,Long Beach,1136,995
California,Los Angeles,1283,617
California,McKinleyville,4964,4
California,Merced,2268,1389
California,Modesto,2211,1445
California,Montague,5097,567
California,Monterey,3218,64
California,Napa,3186,191
California,Needles,944,4672
California,Oakland,2816,128
California,Oxnard,2010,186
California,Palm Springs,668,4333
California,Palmdale,2829,1947
California,Paso Robles,2558,852
California,Porterville,2465,1620
California,Red Bluff,2782,1868
California,Redding,2694,1688
California,Ridgecrest,2782,3004
California,Riverside,1609,1413
California,Sacremento,2581,1281
California,Salinas,2852,84
California,San Diego,1019,742
California,San Francisco,2737,97
California,San Jose,2301,395
California,San Luis Obispo,2325,201
California,Sandberg,3610,1089
California,Santa Anna,1106,657
California,Santa Barbara,2433,104
California,Santa Maria,2795,32
California,Santa Monica,1388,467
California,Santa Rose,2859,329
California,South Lake Tahoe,7847,11
California,Stockton,2494,1296
California,Truckee,7884,87
California,Twentynine Palms,1788,3297
California,Ukiah,2981,874
California,Van Nuys,1214,1507
California,Visalia,3032,1602
California,Yuba City,2533,1476
Colorado,Akron CO,6087,823
Colorado,Alamosa,8528,23
Colorado,Aspen,8294,68
Colorado,Aurora CO,6093,825
Colorado,Broomfield,5836,637
Colorado,Colorado Springs,6115,481
Colorado,Cortez,5921,523
Colorado,Craig,8497,74
Colorado,Denver,5655,923
Colorado,Durango,7114,312
Colorado,Fort Collins,7048,509
Colorado,Grand Junction,5283,1230
Colorado,Greeley,6792,484
Colorado,Gunnison,9306,13
Colorado,Gypsum,7853,116
Colorado,Hayden,8169,211
Colorado,La Junta,5194,1318
Colorado,Lakewood,6112,582
Colorado,Lamar,5635,1305
Colorado,Leadville,10266,0
Colorado,Limon,6576,373
Colorado,Montrose,5984,746
Colorado,Pueblo,5178,936
Colorado,Rifle,5943,631
Colorado,Trinidad,5266,798
Connecticut,Danbury,6218,503
Connecticut,Groton,5700,418
Connecticut,Hartford Brainard,5969,731
Connecticut,New Haven,5524,625
Connecticut,Oxford,6425,551
Connecticut,Stratford,5530,738
Delaware,Dover,4987,1010
Delaware,Wilmington DE,5087,1088
Florida,Crestview,1672,2354
Florida,Daytona,789,2857
